gameid,uid,round,reactTime,color,guess,congruent,near,correct,accuracy
15178,855065223d058a74465d,101,1035,f,f,1,1,1,1.0
15178,855065223d058a74465d,102,712,f,f,0,1,1,1.0
15178,855065223d058a74465d,103,764,h,h,1,1,1,1.0
15178,855065223d058a74465d,104,548,h,h,1,1,1,1.0
15178,855065223d058a74465d,105,619,f,f,0,1,1,1.0
15178,855065223d058a74465d,106,537,f,f,0,1,1,1.0
15178,855065223d058a74465d,107,768,h,h,0,1,1,1.0
15178,855065223d058a74465d,108,666,h,h,1,1,1,1.0
15178,855065223d058a74465d,109,590,f,f,0,1,1,1.0
15178,855065223d058a74465d,110,671,h,h,1,1,1,1.0
15285,b42737b14cb275bdd47f,101,812,h,h,0,1,1,1.0
15285,b42737b14cb275bdd47f,102,809,h,h,1,1,1,1.0
15285,b42737b14cb275bdd47f,103,1000,f,f,0,1,1,1.0
15285,b42737b14cb275bdd47f,104,536,h,h,0,1,1,1.0
15285,b42737b14cb275bdd47f,105,973,h,h,0,1,1,1.0
15285,b42737b14cb275bdd47f,106,587,h,h,1,1,1,1.0
15285,b42737b14cb275bdd47f,107,1077,f,f,0,1,1,1.0
15285,b42737b14cb275bdd47f,108,817,h,h,1,1,1,1.0
15285,b42737b14cb275bdd47f,109,1065,f,f,0,1,1,1.0
15285,b42737b14cb275bdd47f,110,898,h,h,1,1,1,1.0
15321,ea9648c2cb7025f272a7,101,771,f,f,0,1,1,0.9
15321,ea9648c2cb7025f272a7,102,598,h,h,0,1,1,0.9
15321,ea9648c2cb7025f272a7,103,470,h,h,0,1,1,0.9
15321,ea9648c2cb7025f272a7,104,462,h,h,0,1,1,0.9
15321,ea9648c2cb7025f272a7,105,696,h,h,1,1,1,0.9
15321,ea9648c2cb7025f272a7,106,581,h,h,0,1,1,0.9
15321,ea9648c2cb7025f272a7,107,534,h,h,1,1,1,0.9
15321,ea9648c2cb7025f272a7,108,632,f,f,1,1,1,0.9
15321,ea9648c2cb7025f272a7,109,468,h,h,1,1,1,0.9
15321,ea9648c2cb7025f272a7,110,420,f,h,1,0,0,0.9
15347,e6e254587cf555b632a9,101,936,f,f,1,1,1,1.0
15347,e6e254587cf555b632a9,102,672,f,f,1,1,1,1.0
15347,e6e254587cf555b632a9,103,1045,f,f,0,1,1,1.0
15347,e6e254587cf555b632a9,104,659,f,f,1,1,1,1.0
15347,e6e254587cf555b632a9,105,875,h,h,1,1,1,1.0
15347,e6e254587cf555b632a9,106,767,f,f,0,1,1,1.0
15347,e6e254587cf555b632a9,107,741,h,h,1,1,1,1.0
15347,e6e254587cf555b632a9,108,868,h,h,0,1,1,1.0
15347,e6e254587cf555b632a9,109,712,h,h,0,1,1,1.0
15347,e6e254587cf555b632a9,110,717,h,h,1,1,1,1.0
15373,5a83f0024230a2e76d71,101,1108,f,f,1,1,1,1.0
15373,5a83f0024230a2e76d71,102,1131,h,h,0,1,1,1.0
15373,5a83f0024230a2e76d71,103,964,f,f,1,1,1,1.0
