testId,12,4,timeSpent,uid,ineligible
72767,1,,98,6474e531b61d1c298665,0
72939,,1,49,93b6faa838da6855f121,0
73073,,1,56,c1afcee8400833039143,0
73080,,1,8,c1afcee8400833039143,1
73103,1,,55,15f381981648890bd162,0
73134,,1,60,93f6efd5189bc2f27b54,0
73169,1,,63,7c1013224b65a081d974,0
73175,,1,60,a7927a93b0ac95b336ba,0
73201,1,,85,4f7a4c1aee42e5c8e8b5,0
73223,1,,12,de2401f0e4e17d0c644d,0
73228,,1,68,a7b847156dc7f6c498b2,0
73283,,1,42,750a4a00ffcbe67e5db7,0
73413,1,,7,4a1f0fa3dcffd49aab23,0
73452,,1,65,0633627066210afdb584,0
73546,1,,44,c0607cf2293dbe01d3ed,0
73214,,,11,de2401f0e4e17d0c644d,1
73685,,1,34,db20122421b453063c33,0
73707,,1,51,b54bba93647f4d149a6e,0
73709,1,,33,8da30b1ecf285ec0fe17,0
73728,,1,103,9bba2b2565c516624bb7,0
73732,,1,78,b4211abe38812cefe995,0
73762,1,,16,8da30b1ecf285ec0fe17,1
73859,,1,10,b268bbe24a659fd07775,0
73867,1,,33,643505aca0cda16756c0,0
73872,1,,28,f07b8833c6b68a83671e,0
73896,,1,49,4a6669d76845a4771177,0
73925,,1,42,d5c963799e15fb2b6b32,0
73931,1,,11,52790d7e8f7efaacd519,0
73940,1,,76,5e9bd9fa0e2b2c1d65c5,0
73978,1,,48,73a428ea8827ffb7687a,0
74088,,1,110,cc97d375004b0cf31e18,0
74092,,1,17,cc97d375004b0cf31e18,1
74170,,1,33,ca753b78bbc287d3182a,0
74247,,1,38,05238f2783ad2e582169,0
74303,,1,52,c55a7b25f359bd7a761a,0
74319,1,,48,f65088d40423b5e72324,0
74335,1,,59,8fd25c404514739d06a9,0
74359,,1,10,8b96b2eba790c5478648,0
74398,,1,11,2fd0565646dd07ba3b6b,0
74416,,1,74,9e1637cb998028362c33,0
74431,,1,18,9e1637cb998028362c33,1
74435,1,,57,cecb2c359d12ef875358,0
74447,,1,13,cecb2c359d12ef875358,1
74484,1,,60,6797882cfcd474fc1d83,0
74493,,1,18,6797882cfcd474fc1d83,1
74505,1,,51,73486734f84ad4dd4dcc,0
74526,1,,597,eb2033b5b60cb5e68996,0
74549,1,,49,56fe86e4d1363e1a38f2,0
74570,,1,12,f497a6ec862298a5f6ca,0
74633,,1,12,0ccaaf0630349918a644,0
74637,1,,130,c300685fc71fe479eb9d,0
74676,,1,66,870d821c575fb4d6fa3e,0
74754,,1,48,35823aa38de2efb9c97a,0
74761,1,,48,d5c963799e15fb2b6b32,1
74770,,1,169,4233181fc4c9bc696970,0
74787,1,,71,4e4d8bb4d36136905a42,0
74791,1,,11,4e4d8bb4d36136905a42,1
73908,,,1,4a6669d76845a4771177,1
74867,1,,57,d1b535497b9a5050b5d4,0
74927,,1,51,85f13660defe7b3cd695,0
74942,1,,41,c1fe874d181f0efbf20f,0
74945,,1,56,d30ddd5e85bfb0829df1,0
75016,,1,43,53bc695ffa787aa6895a,0
75027,,1,38,87c2d87f862277ec63ed,0
75039,,1,62,56c0491c6da4efc849d4,0
75072,,1,65,f9d4f384038d1cb93102,0
75076,1,,60,f2a843ded7ba20973016,0
75081,,1,12,f2a843ded7ba20973016,1
75091,,1,8,56c0491c6da4efc849d4,1
75120,1,,67,c3ab7162adad35d4aa07,0
75130,1,,15,be0372abb9ed5e25665d,0
75140,1,,47,09ae670f8131c3753a7b,0
75151,1,,77,5bf1e455cb8b3cbeecba,0
75163,1,,61,36807386ae0203d7dfc7,0
75202,1,,8,5bf1e455cb8b3cbeecba,1
75203,1,,7,ead2b11bd032e2918e37,0
75216,1,,104,5334bfda9b005199e6e7,0
75217,,1,62,9a3cb0840cbcf53b2f80,0
75228,1,,6,9a3cb0840cbcf53b2f80,1
75234,1,,6,9a3cb0840cbcf53b2f80,1
75247,,1,12,9a3cb0840cbcf53b2f80,1
75246,1,,128,65cb0a0fa4fa3149cf5f,0
75252,1,,77,f815a67fb86dd763caa3,0
75269,,1,7,f815a67fb86dd763caa3,1
75286,1,,63,42b29c26e3334f399ebe,0
75296,,1,6,42b29c26e3334f399ebe,1
75306,1,,12,42b29c26e3334f399ebe,1
75323,1,,35,6fd8f0cb386475ca4ba8,0
75336,,1,62,cc6aabf754bc22f46e51,0
75375,,1,48,b3ed7f77d1b66a3f04af,0
75384,,1,55,6c234c2dead813516ba9,0
75543,1,,51,ee1373a94cb46faac1ea,0
75545,1,,64,58ece1cb7b46e47d596e,0
75600,,1,84,aa10df71b77f6b514e4c,0
75638,,1,24,13adbcc10d817ed436a8,0
75656,1,,62,ddb6e7718ea45e81659a,0
75680,1,,82,587948a5b0b2a93682a7,0
75701,,1,59,9d8203f1c2ad30aff23a,0
75736,1,,8,42b29c26e3334f399ebe,1
75756,1,,13,9d8203f1c2ad30aff23a,1
75789,1,,14,31b2166a326e240bd580,0
75807,1,,110,42a5632220af4bd4bb19,0
75815,1,,6,42a5632220af4bd4bb19,1
75820,,1,58,1aaea11b41e98781beac,0
75826,,1,69,b2ee7db560ccfcf447c9,0
