testId,11,12,13,14,15,16,17,18,timeSpent,uid,chain
72772,3,4,7,3,4,4,8,6,78,6474e531b61d1c298665,383
72941,3,2,8,2,4,2,5,3,33,93b6faa838da6855f121,258
73075,2,2,3,1,4,1,5,2,52,c1afcee8400833039143,389
73105,7,7,3,9,6,7,4,5,70,15f381981648890bd162,124
73136,6,7,3,8,6,8,2,7,80,93f6efd5189bc2f27b54,50
73171,6,3,8,5,2,1,4,5,55,7c1013224b65a081d974,118
73177,3,1,4,3,2,2,8,3,53,a7927a93b0ac95b336ba,287
73203,3,4,6,6,4,3,5,3,79,4f7a4c1aee42e5c8e8b5,48
73225,1,1,9,4,3,1,8,1,40,de2401f0e4e17d0c644d,
73230,5,4,3,8,6,5,5,3,55,a7b847156dc7f6c498b2,2
73285,6,6,3,8,5,3,3,3,42,750a4a00ffcbe67e5db7,140
73416,3,7,2,7,6,6,5,3,47,4a1f0fa3dcffd49aab23,259
73454,4,3,7,5,7,3,5,3,61,0633627066210afdb584,353
73551,6,4,5,2,4,2,6,2,35,c0607cf2293dbe01d3ed,172
73687,1,1,5,1,5,1,5,1,45,db20122421b453063c33,132
73716,7,3,8,2,5,6,4,6,21,b54bba93647f4d149a6e,66
73719,5,5,5,5,5,5,5,5,18,8da30b1ecf285ec0fe17,15
73733,5,1,9,4,4,1,7,3,36,9bba2b2565c516624bb7,464
73738,1,1,9,6,6,5,4,2,42,b4211abe38812cefe995,204
73767,5,4,5,6,4,6,6,5,13,8da30b1ecf285ec0fe17,
73861,9,7,1,9,9,7,1,9,21,b268bbe24a659fd07775,189
73869,5,2,4,2,3,1,4,2,33,643505aca0cda16756c0,164
73877,7,6,3,5,7,2,4,5,37,f07b8833c6b68a83671e,364
73898,2,2,9,1,3,1,5,3,38,4a6669d76845a4771177,444
73927,9,7,2,5,7,8,5,5,32,d5c963799e15fb2b6b32,
73933,5,5,5,5,5,5,5,5,15,52790d7e8f7efaacd519,27
73942,7,7,3,7,7,6,5,4,45,5e9bd9fa0e2b2c1d65c5,219
73981,6,2,4,5,7,4,3,6,15,73a428ea8827ffb7687a,77
74097,1,5,5,6,5,5,5,1,123,cc97d375004b0cf31e18,
74172,1,5,5,6,6,5,5,1,124,ca753b78bbc287d3182a,432
74250,4,4,6,3,4,3,7,4,31,05238f2783ad2e582169,267
74305,5,3,3,7,7,1,5,7,56,c55a7b25f359bd7a761a,358
74322,4,6,5,5,6,4,6,3,38,f65088d40423b5e72324,151
74337,2,2,9,5,5,1,7,3,41,8fd25c404514739d06a9,62
74361,3,3,3,4,4,2,3,5,38,8b96b2eba790c5478648,226
74401,5,5,4,9,7,5,4,5,47,2fd0565646dd07ba3b6b,75
74418,5,5,4,9,7,5,4,6,39,9e1637cb998028362c33,17
74437,2,3,7,3,4,7,4,3,34,cecb2c359d12ef875358,350
74488,3,3,5,6,8,7,7,2,58,6797882cfcd474fc1d83,417
74495,3,4,4,5,5,6,8,4,66,6797882cfcd474fc1d83,
74509,4,3,7,3,5,8,4,4,38,73486734f84ad4dd4dcc,399
74542,5,1,4,5,5,1,3,5,102,eb2033b5b60cb5e68996,0
74554,5,5,5,5,5,5,5,5,21,56fe86e4d1363e1a38f2,
74572,5,5,5,5,5,5,5,5,13,f497a6ec862298a5f6ca,437
74635,7,7,7,5,7,6,5,6,40,0ccaaf0630349918a644,265
74640,7,2,1,3,5,4,5,1,79,c300685fc71fe479eb9d,96
74678,4,4,6,5,4,2,6,4,40,870d821c575fb4d6fa3e,425
74757,2,1,8,1,2,1,4,2,41,35823aa38de2efb9c97a,357
74763,5,5,5,5,5,5,5,5,10,d5c963799e15fb2b6b32,
74773,8,3,5,7,7,2,9,4,65,4233181fc4c9bc696970,
74789,4,3,4,9,7,9,6,3,548,4e4d8bb4d36136905a42,388
74869,5,4,3,1,7,1,5,1,51,d1b535497b9a5050b5d4,209
74929,2,3,1,4,4,3,5,1,56,85f13660defe7b3cd695,320
74944,4,6,3,3,4,1,5,3,33,c1fe874d181f0efbf20f,195
74948,5,5,6,6,6,6,5,5,41,d30ddd5e85bfb0829df1,426
75019,3,3,7,3,4,3,7,3,73,53bc695ffa787aa6895a,206
75029,1,3,7,1,1,2,2,2,46,87c2d87f862277ec63ed,240
75043,3,4,9,5,4,1,8,1,40,56c0491c6da4efc849d4,129
75078,6,7,1,8,7,3,4,3,38,f9d4f384038d1cb93102,435
75122,6,6,5,9,7,8,4,7,40,c3ab7162adad35d4aa07,171
75147,3,3,5,4,4,3,7,5,31,09ae670f8131c3753a7b,14
75156,5,5,2,7,6,2,7,2,46,5bf1e455cb8b3cbeecba,339
75168,6,6,2,4,6,6,1,7,66,36807386ae0203d7dfc7,49
75206,7,6,2,7,6,2,4,3,28,5bf1e455cb8b3cbeecba,
75207,2,1,9,3,3,1,2,2,40,ead2b11bd032e2918e37,90
75220,9,9,9,9,9,9,9,9,71,9a3cb0840cbcf53b2f80,181
75221,4,5,4,4,3,8,6,7,61,5334bfda9b005199e6e7,381
75232,8,4,3,7,4,3,3,4,9,9a3cb0840cbcf53b2f80,
75243,9,9,9,9,9,9,9,9,9,9a3cb0840cbcf53b2f80,
75253,9,7,2,7,7,7,2,3,27,65cb0a0fa4fa3149cf5f,231
75256,2,3,5,5,6,2,5,2,51,f815a67fb86dd763caa3,225
75265,3,5,3,5,4,6,4,5,8,9a3cb0840cbcf53b2f80,
75271,2,4,5,6,5,3,5,2,62,f815a67fb86dd763caa3,
75289,4,4,5,2,5,1,3,1,37,42b29c26e3334f399ebe,51
75328,7,5,1,9,7,7,1,7,43,6fd8f0cb386475ca4ba8,282
75340,5,6,3,4,6,5,4,3,79,cc6aabf754bc22f46e51,438
75377,5,4,3,3,4,4,4,3,36,b3ed7f77d1b66a3f04af,434
75391,4,6,5,8,7,8,8,5,61,6c234c2dead813516ba9,13
75554,3,3,6,3,4,1,3,2,37,ee1373a94cb46faac1ea,73
75557,7,8,2,8,8,9,4,6,33,58ece1cb7b46e47d596e,328
75606,3,5,4,4,5,4,7,6,78,aa10df71b77f6b514e4c,342
75642,5,5,9,1,4,1,8,2,74,13adbcc10d817ed436a8,
75666,6,7,4,3,4,6,5,4,53,ddb6e7718ea45e81659a,312
75688,7,8,3,9,7,9,3,8,36,587948a5b0b2a93682a7,440
75707,3,3,8,5,5,4,5,4,36,9d8203f1c2ad30aff23a,54
75791,6,6,2,7,6,2,2,3,56,31b2166a326e240bd580,245
75809,6,7,2,4,7,3,2,7,64,42a5632220af4bd4bb19,270
75825,7,7,2,3,6,6,6,4,62,1aaea11b41e98781beac,413
75829,6,6,8,7,5,5,6,5,48,b2ee7db560ccfcf447c9,201
75870,5,3,5,1,3,9,5,1,44,84a27da702578c2bd0a8,121
75893,6,8,8,6,5,5,5,5,51,874134aa04969e87e937,310
75907,8,7,7,9,5,7,5,9,38,234b66a5a7604b6f6d13,238
75918,5,5,1,9,4,5,3,5,33,9a2cae841e673241e75a,29
75950,7,5,7,2,4,8,2,5,39,ef1aa9e17ce5c8082318,9
75972,9,9,9,9,9,9,9,9,19,84a27da702578c2bd0a8,
75983,5,5,6,1,4,7,2,5,30,ef1aa9e17ce5c8082318,
75990,7,4,6,1,4,8,2,6,37,ef1aa9e17ce5c8082318,
75997,5,7,3,7,7,7,5,8,44,77d9e1cd9d8fe73d581e,397
75998,7,6,3,5,6,4,4,6,77,b43d13df4381f493a9cf,154
