testId,12,4,timeSpent,uid,chain
72767,1,,98,6474e531b61d1c298665,383
72939,,1,49,93b6faa838da6855f121,258
73073,,1,56,c1afcee8400833039143,389
73080,,1,8,c1afcee8400833039143,
73103,1,,55,15f381981648890bd162,124
73134,,1,60,93f6efd5189bc2f27b54,50
73169,1,,63,7c1013224b65a081d974,118
73175,,1,60,a7927a93b0ac95b336ba,287
73201,1,,85,4f7a4c1aee42e5c8e8b5,48
73223,1,,12,de2401f0e4e17d0c644d,
73228,,1,68,a7b847156dc7f6c498b2,2
73283,,1,42,750a4a00ffcbe67e5db7,140
73413,1,,7,4a1f0fa3dcffd49aab23,259
73452,,1,65,0633627066210afdb584,353
73546,1,,44,c0607cf2293dbe01d3ed,172
73214,,,11,de2401f0e4e17d0c644d,
73685,,1,34,db20122421b453063c33,132
73707,,1,51,b54bba93647f4d149a6e,66
73709,1,,33,8da30b1ecf285ec0fe17,15
73728,,1,103,9bba2b2565c516624bb7,464
73732,,1,78,b4211abe38812cefe995,204
73762,1,,16,8da30b1ecf285ec0fe17,
73859,,1,10,b268bbe24a659fd07775,189
73867,1,,33,643505aca0cda16756c0,164
73872,1,,28,f07b8833c6b68a83671e,364
73896,,1,49,4a6669d76845a4771177,444
73925,,1,42,d5c963799e15fb2b6b32,
73931,1,,11,52790d7e8f7efaacd519,27
73940,1,,76,5e9bd9fa0e2b2c1d65c5,219
73978,1,,48,73a428ea8827ffb7687a,77
74088,,1,110,cc97d375004b0cf31e18,
74092,,1,17,cc97d375004b0cf31e18,
74170,,1,33,ca753b78bbc287d3182a,432
74247,,1,38,05238f2783ad2e582169,267
74303,,1,52,c55a7b25f359bd7a761a,358
74319,1,,48,f65088d40423b5e72324,151
74335,1,,59,8fd25c404514739d06a9,62
74359,,1,10,8b96b2eba790c5478648,226
74398,,1,11,2fd0565646dd07ba3b6b,75
74416,,1,74,9e1637cb998028362c33,17
74431,,1,18,9e1637cb998028362c33,
74435,1,,57,cecb2c359d12ef875358,350
74447,,1,13,cecb2c359d12ef875358,
74484,1,,60,6797882cfcd474fc1d83,417
74493,,1,18,6797882cfcd474fc1d83,
74505,1,,51,73486734f84ad4dd4dcc,399
74526,1,,597,eb2033b5b60cb5e68996,0
74549,1,,49,56fe86e4d1363e1a38f2,
74570,,1,12,f497a6ec862298a5f6ca,437
74633,,1,12,0ccaaf0630349918a644,265
74637,1,,130,c300685fc71fe479eb9d,96
74676,,1,66,870d821c575fb4d6fa3e,425
74754,,1,48,35823aa38de2efb9c97a,357
74761,1,,48,d5c963799e15fb2b6b32,
74770,,1,169,4233181fc4c9bc696970,
74787,1,,71,4e4d8bb4d36136905a42,388
74791,1,,11,4e4d8bb4d36136905a42,
73908,,,1,4a6669d76845a4771177,
74867,1,,57,d1b535497b9a5050b5d4,209
74927,,1,51,85f13660defe7b3cd695,320
74942,1,,41,c1fe874d181f0efbf20f,195
74945,,1,56,d30ddd5e85bfb0829df1,426
75016,,1,43,53bc695ffa787aa6895a,206
75027,,1,38,87c2d87f862277ec63ed,240
75039,,1,62,56c0491c6da4efc849d4,129
75072,,1,65,f9d4f384038d1cb93102,435
75076,1,,60,f2a843ded7ba20973016,
75081,,1,12,f2a843ded7ba20973016,
75091,,1,8,56c0491c6da4efc849d4,
75120,1,,67,c3ab7162adad35d4aa07,171
75130,1,,15,be0372abb9ed5e25665d,
75140,1,,47,09ae670f8131c3753a7b,14
75151,1,,77,5bf1e455cb8b3cbeecba,339
75163,1,,61,36807386ae0203d7dfc7,49
75202,1,,8,5bf1e455cb8b3cbeecba,
75203,1,,7,ead2b11bd032e2918e37,90
75216,1,,104,5334bfda9b005199e6e7,381
75217,,1,62,9a3cb0840cbcf53b2f80,181
75228,1,,6,9a3cb0840cbcf53b2f80,
75234,1,,6,9a3cb0840cbcf53b2f80,
75247,,1,12,9a3cb0840cbcf53b2f80,
75246,1,,128,65cb0a0fa4fa3149cf5f,231
75252,1,,77,f815a67fb86dd763caa3,225
75269,,1,7,f815a67fb86dd763caa3,
75286,1,,63,42b29c26e3334f399ebe,51
75296,,1,6,42b29c26e3334f399ebe,
75306,1,,12,42b29c26e3334f399ebe,
75323,1,,35,6fd8f0cb386475ca4ba8,282
75336,,1,62,cc6aabf754bc22f46e51,438
75375,,1,48,b3ed7f77d1b66a3f04af,434
75384,,1,55,6c234c2dead813516ba9,13
75543,1,,51,ee1373a94cb46faac1ea,73
75545,1,,64,58ece1cb7b46e47d596e,328
75600,,1,84,aa10df71b77f6b514e4c,342
75638,,1,24,13adbcc10d817ed436a8,
75656,1,,62,ddb6e7718ea45e81659a,312
75680,1,,82,587948a5b0b2a93682a7,440
75701,,1,59,9d8203f1c2ad30aff23a,54
75736,1,,8,42b29c26e3334f399ebe,
75756,1,,13,9d8203f1c2ad30aff23a,
75789,1,,14,31b2166a326e240bd580,245
75807,1,,110,42a5632220af4bd4bb19,270
75815,1,,6,42a5632220af4bd4bb19,
75820,,1,58,1aaea11b41e98781beac,413
75826,,1,69,b2ee7db560ccfcf447c9,201
75867,1,,84,84a27da702578c2bd0a8,121
75874,,1,12,84a27da702578c2bd0a8,
75890,1,,81,874134aa04969e87e937,310
75905,1,,51,234b66a5a7604b6f6d13,238
75915,1,,78,9a2cae841e673241e75a,29
75948,1,,90,ef1aa9e17ce5c8082318,9
75955,1,,18,ef1aa9e17ce5c8082318,
74317,,,13,b4211abe38812cefe995,
75970,,1,11,84a27da702578c2bd0a8,
75981,1,,12,ef1aa9e17ce5c8082318,
75988,,1,9,ef1aa9e17ce5c8082318,
75994,1,,54,b43d13df4381f493a9cf,154
75993,1,,72,77d9e1cd9d8fe73d581e,397
76018,,1,133,d8c03b5f9344a94f5ec1,356
76040,,1,93,14bdbae34d6ec9f06690,139
76061,1,,64,d0b66c2306c3bb6e5006,147
76075,1,,135,ea11538b2cac3118d30d,256
76107,1,,56,7eb323ea031421a39de1,191
76161,1,,44,4a59e94da1bb62688a38,337
76172,1,,5,4a59e94da1bb62688a38,
76189,,1,50,95c39a9ec40e7000150c,242
76193,,1,14,13adbcc10d817ed436a8,
