gameid,uid,age,gender,device,round,reactTime,nonword,justiceWord,correct,NumChars,accuracy,rounds,chain
72487,6fa3a83313344dc678d1,,,1,101,684,0,0,1,6,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,102,1031,0,0,1,7,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,103,1204,1,0,1,5,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,104,744,0,0,1,7,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,105,733,1,0,0,8,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,106,616,1,0,0,9,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,107,927,0,1,1,4,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,108,587,0,1,1,4,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,109,122,0,0,1,5,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,110,616,0,1,1,4,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,111,440,1,0,0,6,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,112,4,0,0,1,7,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,113,577,1,0,0,5,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,114,466,0,1,1,5,0.733333333333,15.0,
72487,6fa3a83313344dc678d1,,,1,115,472,0,1,1,5,0.733333333333,15.0,
72769,6474e531b61d1c298665,,,1,101,3006,0,0,1,7,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,102,1901,0,0,1,7,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,103,1422,1,0,1,5,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,104,848,0,0,1,6,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,105,2030,0,1,1,9,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,106,732,0,1,1,4,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,107,1461,1,0,1,8,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,108,732,0,1,1,5,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,109,642,0,1,1,5,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,110,983,1,0,1,8,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,111,881,0,0,1,6,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,112,851,0,1,1,4,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,113,882,1,0,1,6,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,114,1498,1,0,1,8,1.0,15.0,383
72769,6474e531b61d1c298665,,,1,115,843,0,0,1,6,1.0,15.0,383
72940,93b6faa838da6855f121,4,0,1,101,1332,0,1,1,4,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,102,658,0,1,1,4,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,103,720,0,0,1,5,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,104,956,1,0,1,6,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,105,1014,0,0,1,7,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,106,1130,0,0,1,6,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,107,1003,1,0,1,7,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,108,769,0,1,1,4,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,109,891,1,0,1,7,0.933333333333,15.0,258
72940,93b6faa838da6855f121,4,0,1,110,723,0,1,1,5,0.933333333333,15.0,258
