"","Factor1","Factor2","Factor3","Factor4","Factor5","Mean","SD"
"Coldness (A)",0.24,0.15,-0.19,0,0.43,2.84,1.26
"Considerate (A)",0.03,0.07,0.15,-0.01,0.71,4.07,1
"Cooperative (A)",0.31,0.12,0.08,-0.02,0.47,3.81,1.05
"Fault (A)",-0.06,0.1,-0.09,-0.27,0.35,2.65,1.18
"Forgiving (A)",0.09,-0.12,0.19,-0.18,0.62,3.79,1.2
"Helpful (A)",0.02,0.12,0.16,-0.04,0.59,3.88,0.96
"Quarrelsome (A)",-0.2,0.18,-0.07,-0.15,0.41,3.92,1.17
"Rude (A)",-0.08,0.24,-0.09,-0.11,0.53,3.27,1.25
"Trusting (A)",0.12,-0.07,0.06,-0.1,0.51,3.84,1.12
"Careless (C)",-0.03,0.6,-0.14,-0.05,0.11,2.72,1.14
"Disorganized (C)",0.09,0.64,-0.1,-0.05,-0.03,2.84,1.37
"Distracted (C)",-0.09,0.6,-0.03,-0.23,-0.05,2.42,1.19
"Efficient (C)",0.02,0.48,0.28,-0.21,0.06,3.91,0.97
"Lazy (C)",0.14,0.67,0.04,-0.11,0.01,2.62,1.24
"Perseverance (C)",0.03,0.54,0.19,-0.13,0.1,3.59,1.12
"Planning (C)",0.11,0.51,0.09,-0.01,0.13,3.58,1.09
"Reliable (C)",0.05,0.63,0.14,-0.04,0.24,4.15,1
"Thorough (C)",0.08,0.57,0.21,-0.03,0.06,3.95,0.98
"Assertive (E)",0.47,0.16,0.3,-0.12,-0.22,3.27,1.22
"Energetic (E)",0.58,0.18,0.19,-0.14,0.12,3.34,1.14
"Enthusiastic (E)",0.64,0.1,0.26,-0.02,0.21,3.46,1.16
"Outgoing (E)",0.79,0.03,0.11,-0.02,0.19,3.31,1.3
"Quiet (E)",0.77,0.03,-0.06,-0.05,-0.03,2.56,1.28
"Reserved (E)",0.67,-0.09,-0.07,-0.06,-0.03,2.57,1.21
"Shy (E)",0.61,0.12,-0.07,-0.23,-0.08,2.39,1.21
"Talkative (E)",0.8,-0.03,0.09,0.08,0.1,3.39,1.31
"Calm (N)",0.03,-0.16,-0.31,0.54,-0.09,2.3,1.16
"Depressed (N)",-0.37,-0.21,0.09,0.4,-0.15,2.81,1.35
"Moody (N)",0.02,-0.15,0.21,0.57,-0.27,3.48,1.18
"Nervous (N)",-0.24,-0.15,-0.02,0.64,0.11,3.31,1.27
"Relaxed (N)",-0.05,-0.12,-0.15,0.67,-0.16,2.87,1.34
"Stable (N)",-0.07,-0.21,-0.03,0.59,-0.19,2.68,1.29
"Tense (N)",-0.06,0.02,0.12,0.59,-0.22,3.62,1.12
"Worrisome (N)",-0.1,-0.03,0.08,0.75,0,3.57,1.32
"Artistic (O)",0.07,-0.02,0.49,0.18,0.14,3.97,1.08
"Curious (O)",-0.02,0.04,0.51,-0.09,0.06,4.52,0.74
"Imaginative (O)",0.07,-0.04,0.59,0.09,0.04,4.16,0.93
"Ingenious (O)",-0.02,0.1,0.59,-0.06,-0.03,4.04,0.91
"Inventive (O)",0.1,0.11,0.7,-0.16,-0.13,3.55,1.03
"Original (O)",0.16,0.12,0.63,-0.1,-0.05,3.77,1.02
"Reflective (O)",-0.04,0.04,0.58,-0.02,0.15,4.1,0.88
"Routine (O)",0.08,0.02,0.15,-0.12,-0.02,2.82,1.29
"Sophisticated (O)",-0.02,0.01,0.49,0.09,0.04,3.52,1.24
"Unartistic (O)",0.04,0.03,0.21,0.11,0.01,3.35,1.36
