testId,1,2,3,timeSpent,uid
19668,,2,0,79,d4cbbb757ab94804db6a
19796,2,,,26,536ebd4191381e754309
20154,,1,15,17,2ba0751bdd8a786b8793
19967,,,,13,628c4fce7366f258ebaf
20671,2,,50,36,1ddd61836436504abdbc
20976,2,,,68,418e9050557947951f0a
20979,2,,53,24,495623421a9ef1499814
20981,,1,35,20,0266df621ab639a56b30
20987,1,,85,35,0a52dfc3975259eead4b
21074,,1,20,27,20285d8b7556ec3e1009
21138,,1,50,74,27d13a3480f6c53ed0c8
21430,,1,25,17,724a3d29840634b51f6f
21002,,,,1,c841ee043edc977e4372
21485,,1,20,25,6473bcbac0fed464a69d
21523,2,,30,12,bfce0fa4d934b5e53d00
21554,2,,50,19,a71df8923eb0caed8e31
21591,2,,42,17,268b64fa938fcc34005f
21858,2,,,15,58eeee738abbe80bebfc
21899,1,,,11,8b6725aa3206555a20b3
21900,,1,,5,8b6725aa3206555a20b3
21912,1,,,9,8db94797f9c3642691d2
21957,,2,0,13,248163165c0dfff2b257
21558,,,,1,e0be949ff4e9bae80015
22080,2,,45,55,96cd06ac422202f4a443
22243,2,,123123123,44,1e2b3725156c77196028
22265,,1,46,16,d213b7359a4e6fbf927f
22289,,1,14,139,959f4af6bebe0b659f26
22403,,1,28,27,f0c16ceca1ca5998530d
24903,2,,60,15,d390de303ba1718993fc
25670,,1,16,18,064f2d65d24a103bef85
25687,2,,50,20,77065bc095c7f6b01201
26489,2,,47,61,23a3164c2aa10cf0293a
26524,1,,15,21,34c623c74f4d4af48ad9
27053,,1,18,23,ff1ddfc1561fc4121231
27065,2,,32,11,ff1ddfc1561fc4121231
22327,,,,1,3d792c27e641bca31db6
29851,,1,14,18,7c57ea00916f0879d430
30358,,1,20,16,fa4a6be4117a2da051fd
30438,,1,40,11,47901a7b414d435358bf
27818,,,,1,5ef7512b9bec7d2e9161
32413,,1,40,10,16c3b0755bca35affc9d
33217,,1,15,118,f6585c0ef41fe6a7ee48
33227,2,,53,119,8bbc9d2f266e7d52c9f8
33640,,2,,17,ac080d2f23b800f1f7b2
33960,,1,15,14,0bbe5a67a780becaa594
34062,,1,13,15,f8f698fb65f0cba3b61d
34327,2,,15,30,f6585c0ef41fe6a7ee48
34428,2,,,21,02c4a16a24cef6c4cc8c
34432,2,,40,98,02c4a16a24cef6c4cc8c
33786,,,,4,64c76894da7d5a47a963
35438,,1,50,213,fe453301e3e50ee36fba
35465,,2,10,19,a71df8923eb0caed8e31
35493,2,,0,17,765db6acfcc17ed68333
35508,2,,0,7,4e63b8ca54c3c7a02785
35743,,2,2,17,d515169e8e9580b882cb
36128,2,,12,38,f7e35f87c0e02aed25ae
35790,,,,0,157646b2a45a37c8c568
