testId,1,2,timeSpent,uid
19668,1,,56,d4cbbb757ab94804db6a
19796,1,,60,536ebd4191381e754309
20154,1,,38,2ba0751bdd8a786b8793
20198,1,,37,6ceb6a8d4162285e4aaf
20707,2,,48,4cb4181ce66a7077666b
20722,,2,29,8a770bc32de8b146d1f6
20981,,1,23,0266df621ab639a56b30
20986,,1,34,be0bb32c872406541d0d
20991,1,,33,e78f97c6f58c47791407
21107,,2,26,d62091e4a3433b9249ae
20976,,,2,418e9050557947951f0a
21053,,,1,1ddd61836436504abdbc
21591,,2,23,268b64fa938fcc34005f
21344,,,1,d6f9797a50cbf0333587
21827,1,,17,360aaa23de06daf9a1a1
21957,,2,23,248163165c0dfff2b257
22222,,2,42,87fb29fde14732dfa1d3
22266,,2,46,d213b7359a4e6fbf927f
22289,2,,36,959f4af6bebe0b659f26
26756,1,,24,228b77fca300a4297fdd
27064,1,,34,ff1ddfc1561fc4121231
27818,1,,8,5ef7512b9bec7d2e9161
27917,,2,34,2de1432a63b73cd88c11
28692,,2,29,f53a5b9e79904d36bd54
30399,,2,22,40539a169868b77b4aaf
30890,1,,37,a4953dcda04195e1e5ba
27818,,,7,5ef7512b9bec7d2e9161
32517,2,,29,b732040208ec632a8ad5
33217,1,,116,f6585c0ef41fe6a7ee48
33227,,1,87,8bbc9d2f266e7d52c9f8
33367,1,,32,c18393cb21d8bc7fe51b
33789,1,,35,64c76894da7d5a47a963
33831,2,,36,02c4a16a24cef6c4cc8c
34062,1,,25,f8f698fb65f0cba3b61d
34327,,1,80,f6585c0ef41fe6a7ee48
34428,,2,51,02c4a16a24cef6c4cc8c
35053,,2,28,d4d7db1b4277d08c2888
35054,1,,22,d4d7db1b4277d08c2888
35254,1,,37,530ec39ef1386f287546
35346,1,,51,b3ba0687ca315123610a
35416,,1,6,6c9050dc03919460e449
35508,,1,8,4e63b8ca54c3c7a02785
35653,,2,11,2dc16cf3eeeae9094c0d
35742,,1,5,d515169e8e9580b882cb
35747,1,,9,d515169e8e9580b882cb
35461,,,0,a10cd3f8f9308c7ee7de
35493,,,9,765db6acfcc17ed68333
35507,,,6,4e63b8ca54c3c7a02785
36124,,2,18,f7e35f87c0e02aed25ae
39710,,,0,4e375da3f29f041bbdb9
41516,,1,17,9aeea4ff47dd71332581
41749,2,,101,e9071e582ae6e31337fb
41751,2,,4,e9071e582ae6e31337fb
42549,2,,47,7ba9d2e50d2995c50d48
43671,2,,18,949895fa0cd757b432fc
44264,,2,18,18b81d0f055ecfbe3055
44310,2,,18,6df88f2bdb34e1becd45
44487,,1,37,c540dcae36c6339e7ef7
44568,1,,24,282b7dedfc636aa30ae0
44718,1,,51,af9c60dc9bdf643109f9
44847,2,,29,b95dfdbd3b69a8d05bbe
45119,1,,20,3dacd133aaae60168be4
45756,,2,34,ff9ffe0ef45aa3289805
46079,1,,23,95ef33004953890f1a5b
47028,,2,27,6f89f1d321081ba52375
47037,1,,22,367fee69a8105bfaad73
47288,2,,65,2e14bf867f2c26e1c388
44550,,,6,c3dcc7948f40ab9b511c
47470,,2,20,3ffc80ff8470b754b348
44792,,,7,53b447d3135386091c0b
47493,,2,62,14af041956c9663acf8e
47549,1,,9,7a959aeeab911b215544
47565,1,,133,05974ef9ffe1ab7d89c7
47718,,1,27,9df4db790b05a12394e1
45756,,,9,ff9ffe0ef45aa3289805
46133,,,1,7baeec6d9835259769bd
48381,1,,30,ba0c8f3877347246a827
48632,1,,17,d36cf1721ba412df4ea7
48638,,1,30,0d2f869bee2d1ff174f2
48902,1,,18,f06c6e3ea98893ee8215
49076,,2,26,0c9688fbd2f466ed1b82
49099,1,,60,415abb83657090192d8f
49272,,1,60,83c7b6e4890796220fec
49809,,1,58,09e3fd02e7a9cac889c4
49860,,1,52,c116bf0f1020b5004122
50588,1,,22,273741f052800c0b5410
51566,,2,29,2b28db7856bb1dfe24f5
51702,,2,27,a4524f348f27ba27dab0
52717,2,,23,056acef2b948eef0ba2b
52753,1,,42,3eb3b0cc1439805d42a0
52763,,1,28,3eb3b0cc1439805d42a0
52813,,2,32,f0eb67a58cb7291ff129
52911,1,,66,fc9f6f93f36b65c43ecd
52945,1,,42,0876dfd5fa24a4b76ca1
52954,2,,98,96e51c835f6987eb7840
53019,2,,22,5310f62ffe11bd02e6ca
53030,2,,29,271a41f7e10b31402c38
53045,,2,65,c07c1f248b68e0b17a23
52954,,,4,96e51c835f6987eb7840
53129,,2,23,b6f3c3face0e91b2f3e1
53208,2,,40,8da23bd1dfbde2ae00f3
53220,,2,74,d1cae54bdbf84990b201
