testId,41,61,81,101,141,161,181,201,timeSpent,uid
70347,,2,7,5,3,6,4,5,126,fa5c7473398e9372358c
70362,,2,5,4,1,5,5,4,68,073b0f901f260e436cbb
70365,,2,3,4,2,5,6,6,77,2dd6d98db478d20c668d
70366,6,4,5,5,2,5,4,5,59,8a50261aa1827fefcdcc
70425,6,6,1,1,1,3,7,7,217,10b55376b98234599bad
70427,2,,1,1,2,3,7,7,79,10b55376b98234599bad
70459,5,2,5,5,4,6,5,5,79,04abaa9c6b7bfb0e653b
70561,7,2,4,3,5,6,7,7,88,58eb6515c043c0ec527f
70718,6,4,3,5,4,5,5,5,65,76afa22b3a5fecf79671
70826,5,2,3,2,,2,6,5,83,f0b04d19efa9fad058be
70839,5,3,5,2,3,2,5,4,154,815c37a7505ccf794a23
71046,2,5,5,5,2,5,6,6,66,8e8fcd00f8644d64dc5e
71065,,3,4,4,,5,7,,144,3743818193f565869cc7
70867,,,,,,,,,108,5a6039723b322755ba76
71091,,6,2,,4,5,7,2,136,47f528add2a1c3040fdf
71219,7,3,3,3,1,7,3,,83,cbe6fe7da138c47a30f3
71281,3,2,4,4,,1,4,4,76,a3e0e8d823a355e293ed
71345,,2,5,5,5,6,4,7,91,ae2617f3baed7897e5f6
71364,7,1,6,7,1,,,,66,2f61ae1e6558f9b09604
71459,7,,4,5,7,,7,4,68,48c2f025984f9f00bfa2
71476,7,1,,4,1,5,7,7,77,f3ca2b381df61f31d6d9
71500,5,3,4,5,2,6,5,5,70,99d1d09f398c10f3f85b
71551,5,7,5,4,5,2,4,4,92,14efd0f765a4dec35dbb
71558,7,7,1,5,2,7,5,5,37,2b51efdd28c71d03bbc9
71569,5,3,5,6,7,7,,5,70,989de5b51bda1d8aa8e6
71627,7,5,2,2,3,6,6,6,77,a231bfdcc1457e6e72bd
71710,,2,6,6,2,6,5,6,94,7c4b46959c143b9d6bad
71161,,4,,5,1,,,,149,4eef3a6892bc06beb387
71754,4,1,5,4,1,7,,5,108,e395477b46ccf7f1d5b1
71756,,4,5,6,3,5,6,5,106,5cbd9766a3df7992a836
71432,,,,,,,,,37,eace520f7919f1ccddd3
71508,,,,,,,,,11,9683855b1fff332d00b6
71888,6,5,6,5,2,4,5,5,1154,e9e1508ad9a57b990cbd
72085,3,1,3,3,2,6,5,7,103,7281576c37c763cf3a13
72167,,5,2,7,4,7,7,4,88,176319db4edab822e4ed
72256,4,3,6,5,1,6,3,3,74,76eeb1a81ac2c9a7e4ab
72257,7,2,6,6,1,6,3,3,38,1f0f159835d251879f5d
72266,,7,7,7,1,4,4,6,70,098d8d4dbf7038402562
72268,7,5,6,6,1,3,6,7,71,c8bc52a655ffef3103ad
72279,,4,,7,,3,4,2,293,9732f8a70755430da5fe
72291,,2,5,5,1,3,4,6,109,3971cbdfc963897b6ae1
72295,3,,7,7,7,1,7,4,122,e4a8fa174f2508483612
72393,4,3,1,1,1,6,7,7,99,a5df34e7d8f7aaade7f3
72465,,6,2,4,2,6,5,4,116,1048177c38c500599d87
72552,,5,3,4,7,6,,4,131,dfc749ddd14591cdc55f
72943,5,,6,5,2,5,7,7,78,4330074ce3cacafb811d
72993,7,1,1,,1,7,5,3,98,22f85b05a0f455e528e1
73072,7,4,6,6,2,6,5,5,63,a47b9ceebdecc00944e7
73085,5,4,,3,4,5,6,6,97,97c2b60c582715bcb286
72579,6,,5,5,2,6,5,6,82,9adcf1e0f0617029d577
